iter	Passed	Remaining
745	5101	63288
746	5108	63275
747	5114	63263
748	5121	63251
749	5127	63244
750	5135	63241
751	5141	63223
752	5147	63211
753	5153	63192
754	5158	63169
755	5164	63153
756	5171	63140
757	5177	63128
758	5184	63119
759	5190	63111
760	5197	63099
761	5204	63091
762	5210	63077
763	5216	63063
764	5222	63049
765	5229	63034
766	5235	63020
767	5241	63007
768	5248	62996
769	5254	62984
770	5260	62968
771	5265	62945
772	5272	62934
773	5278	62916
774	5284	62902
775	5290	62887
776	5296	62874
777	5302	62852
778	5308	62841
779	5315	62830
780	5321	62820
781	5328	62809
782	5334	62788
783	5340	62772
784	5346	62764
785	5352	62741
786	5358	62733
787	5364	62717
788	5371	62703
789	5376	62685
790	5382	62662
791	5388	62651
792	5395	62641
793	5401	62626
794	5408	62620
795	5416	62634
796	5423	62626
797	5430	62617
798	5436	62606
799	5443	62600
800	5449	62587
801	5455	62573
802	5462	62562
803	5468	62547
804	5474	62532
805	5480	62518
806	5487	62512
807	5494	62503
808	5500	62487
809	5506	62477
810	5513	62471
811	5520	62462
812	5527	62456
813	5533	62448
814	5540	62438
815	5546	62428
816	5553	62417
817	5559	62408
818	5566	62401
819	5573	62391
820	5579	62382
821	5585	62370
822	5593	62365
823	5599	62358
824	5606	62352
825	5614	62353
826	5620	62343
827	5627	62337
828	5634	62329
829	5640	62322
830	5648	62327
831	5656	62325
832	5662	62317
833	5669	62306
834	5675	62295
835	5681	62283
836	5688	62279
837	5696	62276
838	5702	62267
839	5709	62262
840	5716	62253
841	5723	62250
842	5730	62243
843	5736	62235
844	5743	62228
845	5750	62220
846	5756	62209
847	5763	62203
848	5770	62196
849	5776	62179
850	5782	62169
851	5789	62157
852	5795	62150
853	5802	62141
854	5807	62120
855	5814	62110
856	5821	62104
857	5827	62094
858	5834	62086
859	5840	62076
860	5847	62065
861	5853	62055
862	5860	62045
863	5866	62036
864	5873	62029
865	5880	62022
866	5886	62011
867	5892	61996
868	5899	61986
869	5904	61966
870	5911	61956
871	5917	61945
872	5923	61933
873	5930	61923
874	5937	61918
875	5943	61902
876	5949	61893
877	5956	61883
878	5962	61874
879	5969	61869
880	5975	61851
881	5981	61839
882	5988	61829
883	5994	61820
884	6000	61805
885	6007	61797
886	6013	61786
887	6021	61787
888	6029	61796
889	6036	61788
890	6042	61776
891	6049	61767
892	6055	61758
893	6062	61749
894	6069	61741
895	6075	61730
896	6082	61721
897	6088	61711
898	6094	61698
899	6101	61691
900	6107	61679
901	6114	61671
902	6120	61663
903	6127	61655
904	6133	61636
905	6139	61629
906	6146	61622
907	6153	61615
908	6160	61610
909	6166	61600
910	6173	61591
911	6179	61580
912	6186	61572
913	6193	61566
914	6200	61560
915	6206	61550
916	6212	61539
917	6219	61531
918	6226	61524
919	6232	61514
920	6239	61503
921	6245	61492
922	6252	61484
923	6258	61476
924	6265	61467
925	6271	61459
926	6278	61449
927	6284	61440
928	6291	61429
929	6297	61421
930	6304	61411
931	6310	61398
932	6316	61384
933	6322	61372
934	6329	61367
935	6336	61357
936	6342	61347
937	6349	61338
938	6355	61330
939	6362	61327
940	6369	61319
941	6376	61313
942	6382	61302
943	6389	61293
944	6396	61287
945	6402	61278
946	6409	61270
947	6415	61261
948	6422	61250
949	6427	61232
950	6433	61214
951	6439	61200
952	6445	61190
953	6452	61186
954	6459	61179
955	6466	61176
956	6473	61168
957	6480	61160
958	6487	61165
959	6494	61159
960	6501	61149
961	6507	61140
962	6514	61132
963	6520	61115
964	6526	61101
965	6533	61098
966	6539	61091
967	6546	61084
968	6553	61076
969	6558	61056
970	6565	61046
971	6571	61033
972	6577	61024
973	6583	61012
974	6590	61005
975	6597	60997
976	6603	60987
977	6610	60983
978	6617	60972
979	6623	60965
980	6630	60956
981	6636	60946
982	6644	60949
983	6650	60937
984	6657	60926
985	6663	60919
986	6670	60910
987	6676	60902
988	6683	60896
989	6690	60887
990	6696	60878
991	6703	60870
992	6710	60863
993	6716	60857
994	6723	60849
995	6730	60842
996	6736	60834
997	6743	60827
998	6750	60822
999	6757	60813
1000	6762	60797
1001	6768	60784
1002	6775	60777
1003	6781	60765
1004	6787	60753
1005	6794	60744
1006	6800	60733
1007	6807	60726
1008	6813	60717
1009	6820	60708
1010	6826	60698
1011	6833	60689
1012	6840	60683
1013	6846	60674
1014	6853	60666
1015	6859	60655
1016	6865	60645
1017	6872	60636
1018	6879	60628
1019	6885	60622
1020	6892	60615
1021	6899	60607
1022	6905	60596
1023	6911	60584
1024	6917	60567
1025	6923	60560
1026	6930	60549
1027	6936	60540
1028	6942	60528
1029	6948	60515
1030	6955	60506
1031	6962	60499
1032	6968	60493
1033	6975	60483
1034	6982	60481
1035	6990	60488
1036	6997	60477
1037	7003	60466
1038	7010	60459
